AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลเมืองร้อยเอ็ด,<10000,บ้านเดี่ยว,2396.154028,0,93.96682464,2490.120853,97.39122522,0,0,97.39122522,2173.311704,16.82006161,0,2190.131765,,397.3803129,320.2335499,-16.82006161,93.96682464,397.3803129,-16.82006161,320.2335499,3000,0,,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,ห้องแถว ตึกแถว,0,93.96682464,0,93.96682464,0,0,0,0,222.8423246,68.50181517,93.96682464,385.3109645,,-291.3441398,-222.8423246,25.46500948,-93.96682464,-291.3441398,25.46500948,-222.8423246,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,8.644947867,0,8.644947867,,-8.644947867,0,-8.644947867,0,-29.64494787,-29.64494787,0,,21,21,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,บ้านเดี่ยว,4745.324645,0,46.98341232,4792.308057,792.5593768,0,46.98341232,839.5427891,3454.596341,29.12971564,34.01599052,3517.742047,,2114.108799,2083.28768,-29.12971564,59.95083412,2114.108799,-29.12971564,2083.28768,"3001-6000
",0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,ห้องแถว ตึกแถว,0,939.6682464,0,939.6682464,0,0,0,0,4304.009453,448.2217536,12.9674218,4765.198628,,-3825.530382,-4304.009453,491.4464929,-12.9674218,-3825.530382,491.4464929,-4304.009453,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,113.8877915,42.28507109,0,156.1728626,,-156.1728626,-113.8877915,-42.28507109,0,-156.1728626,-42.28507109,-113.8877915,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,366.4706161,0,366.4706161,,-366.4706161,0,-366.4706161,0,-377.4706161,-377.4706161,0,,11,11,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,53.56109005,0,53.56109005,,-53.56109005,0,-53.56109005,0,-53.56109005,-53.56109005,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,บ้านเดี่ยว,2598.182701,144.3173815,0,2742.500083,545.9735619,108.2347034,0,654.2082653,1559.457761,11.30734123,0,1570.765102,,1825.943246,1584.698503,241.2447437,0,1825.943246,241.2447437,1584.698503,"6001-9000
1,500,000",0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,ห้องแถว ตึกแถว,142.5163507,153.2442299,0,295.7605806,0,0,0,0,786.580628,196.3906635,0,982.9712915,,-687.2107109,-644.0642773,-43.14643365,0,-687.2107109,-43.14643365,-644.0642773,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,394.6606635,21.42443602,0,416.0850995,,-416.0850995,-394.6606635,-21.42443602,0,-416.0850995,-21.42443602,-394.6606635,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,68.43917062,0,68.43917062,,-68.43917062,0,-68.43917062,0,-68.43917062,-68.43917062,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,20001-30000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,บ้านเดี่ยว,1268.552133,0,0,1268.552133,621.0566114,0,0,621.0566114,1268.552133,9.020815166,0,1277.572948,,612.0357963,621.0566114,-9.020815166,0,612.0357963,-9.020815166,621.0566114,"9001-12000
1,500,000 - 2,000,000",0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,ห้องแถว ตึกแถว,0,46.98341232,0,46.98341232,0,46.98341232,0,46.98341232,271.4701564,21.89427014,0,293.3644265,,-199.3976019,-271.4701564,72.0725545,0,-199.3976019,72.0725545,-271.4701564,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,205.5054455,6.342760664,0,211.8482062,,-211.8482062,-205.5054455,-6.342760664,0,-211.8482062,-6.342760664,-205.5054455,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,9.725566351,0,9.725566351,,-9.725566351,0,-9.725566351,0,-9.725566351,-9.725566351,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,30001-40000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,บ้านเดี่ยว,986.6516588,125.2890995,0,1111.940758,776.3110422,54.41477238,0,830.7258146,578.177872,0,0,578.177872,,1364.488701,1184.784829,179.7038719,0,1364.488701,179.7038719,1184.784829,"12001-15000
2,000,000 - 2,500,000",0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,ห้องแถว ตึกแถว,0,0,0,0,0,0,0,0,71.03891943,62.64454976,0,133.6834692,,-133.6834692,-71.03891943,-62.64454976,0,-133.6834692,-62.64454976,-71.03891943,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,337.4348673,62.64454976,0,400.0794171,,-400.0794171,-337.4348673,-62.64454976,0,-400.0794171,-62.64454976,-337.4348673,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองร้อยเอ็ด,40001-50000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
